Uke,År,Navn,Lokalitetsnummer,Lokalitetsnavn,Voksne hunnlus,Lus i bevegelige stadier,Fastsittende lus,Trolig uten fisk,Har telt lakselus,Lusegrense uke,Lat,Lon,Over lusegrense uke,Sjøtemperatur,Lokalitetskapasitet
13,2022,GRIEG SEAFOOD ROGALAND AS,33437,Ådnaholmen,0.0,0.0,0.0,Ja,Nei,0.5,59.27807,5.777617,Nei,,3120.0
12,2022,GRIEG SEAFOOD ROGALAND AS,33437,Ådnaholmen,0.0,0.0,0.0,Ja,Nei,0.5,59.27807,5.777617,Nei,,3120.0
11,2022,GRIEG SEAFOOD ROGALAND AS,33437,Ådnaholmen,0.0,0.0,0.0,Ja,Nei,0.5,59.27807,5.777617,Nei,,3120.0
10,2022,GRIEG SEAFOOD ROGALAND AS,33437,Ådnaholmen,0.0,0.0,0.0,Ja,Nei,0.5,59.27807,5.777617,Nei,,3120.0
9,2022,GRIEG SEAFOOD ROGALAND AS,33437,Ådnaholmen,0.0,0.0,0.0,Ja,Nei,0.5,59.27807,5.777617,Nei,,3120.0
8,2022,GRIEG SEAFOOD ROGALAND AS,33437,Ådnaholmen,0.0,0.0,0.0,Ja,Nei,0.5,59.27807,5.777617,Nei,,3120.0
7,2022,GRIEG SEAFOOD ROGALAND AS,33437,Ådnaholmen,0.0,0.0,0.0,Ja,Nei,0.5,59.27807,5.777617,Nei,,3120.0
6,2022,GRIEG SEAFOOD ROGALAND AS,33437,Ådnaholmen,0.0,0.0,0.0,Ja,Nei,0.5,59.27807,5.777617,Nei,,3120.0
5,2022,GRIEG SEAFOOD ROGALAND AS,33437,Ådnaholmen,0.0,0.0,0.0,Ja,Nei,0.5,59.27807,5.777617,Nei,,3120.0
4,2022,GRIEG SEAFOOD ROGALAND AS,33437,Ådnaholmen,0.0,0.0,0.0,Ja,Nei,0.5,59.27807,5.777617,Nei,,3120.0
3,2022,GRIEG SEAFOOD ROGALAND AS,33437,Ådnaholmen,0.0,0.0,0.0,Ja,Nei,0.5,59.27807,5.777617,Nei,,3120.0
2,2022,GRIEG SEAFOOD ROGALAND AS,33437,Ådnaholmen,0.0,0.0,0.0,Ja,Nei,0.5,59.27807,5.777617,Nei,,3120.0
1,2022,GRIEG SEAFOOD ROGALAND AS,33437,Ådnaholmen,0.0,0.0,0.0,Ja,Nei,0.5,59.27807,5.777617,Nei,,3120.0
52,2021,GRIEG SEAFOOD ROGALAND AS,33437,Ådnaholmen,0.0,0.0,0.0,Ja,Nei,0.5,59.27807,5.777617,Nei,,3120.0
51,2021,GRIEG SEAFOOD ROGALAND AS,33437,Ådnaholmen,0.0,0.0,0.0,Ja,Nei,0.5,59.27807,5.777617,Nei,,3120.0
50,2021,GRIEG SEAFOOD ROGALAND AS,33437,Ådnaholmen,0.0,0.0,0.0,Ja,Nei,0.5,59.27807,5.777617,Nei,,3120.0
49,2021,GRIEG SEAFOOD ROGALAND AS,33437,Ådnaholmen,0.0,0.0,0.0,Ja,Nei,0.5,59.27807,5.777617,Nei,,3120.0
48,2021,GRIEG SEAFOOD ROGALAND AS,33437,Ådnaholmen,0.0,0.0,0.0,Ja,Nei,0.5,59.27807,5.777617,Nei,,3120.0
47,2021,GRIEG SEAFOOD ROGALAND AS,33437,Ådnaholmen,0.0,0.0,0.0,Ja,Nei,0.5,59.27807,5.777617,Nei,,3120.0
46,2021,GRIEG SEAFOOD ROGALAND AS,33437,Ådnaholmen,0.0,0.0,0.0,Ja,Nei,0.5,59.27807,5.777617,Nei,,3120.0
45,2021,GRIEG SEAFOOD ROGALAND AS,33437,Ådnaholmen,0.0,0.0,0.0,Ja,Nei,0.5,59.27807,5.777617,Nei,,3120.0
44,2021,GRIEG SEAFOOD ROGALAND AS,33437,Ådnaholmen,0.0,0.0,0.0,Ja,Nei,0.5,59.27807,5.777617,Nei,,3120.0
43,2021,GRIEG SEAFOOD ROGALAND AS,33437,Ådnaholmen,0.0,0.0,0.0,Ja,Nei,0.5,59.27807,5.777617,Nei,,3120.0
42,2021,GRIEG SEAFOOD ROGALAND AS,33437,Ådnaholmen,0.0,0.0,0.0,Ja,Nei,0.5,59.27807,5.777617,Nei,,3120.0
41,2021,GRIEG SEAFOOD ROGALAND AS,33437,Ådnaholmen,0.0,0.0,0.0,Ja,Nei,0.5,59.27807,5.777617,Nei,,3120.0
40,2021,GRIEG SEAFOOD ROGALAND AS,33437,Ådnaholmen,0.0,0.0,0.0,Ja,Nei,0.5,59.27807,5.777617,Nei,,3120.0
39,2021,GRIEG SEAFOOD ROGALAND AS,33437,Ådnaholmen,0.0,0.0,0.0,Ja,Nei,0.5,59.27807,5.777617,Nei,,3120.0
38,2021,GRIEG SEAFOOD ROGALAND AS,33437,Ådnaholmen,0.0,0.0,0.0,Ja,Nei,0.5,59.27807,5.777617,Nei,,3120.0
37,2021,GRIEG SEAFOOD ROGALAND AS,33437,Ådnaholmen,0.0,0.0,0.0,Ja,Nei,0.5,59.27807,5.777617,Nei,,3120.0
36,2021,GRIEG SEAFOOD ROGALAND AS,33437,Ådnaholmen,0.0,0.0,0.0,Ja,Nei,0.5,59.27807,5.777617,Nei,,3120.0
35,2021,GRIEG SEAFOOD ROGALAND AS,33437,Ådnaholmen,0.0,0.0,0.0,Ja,Nei,0.5,59.27807,5.777617,Nei,,3120.0
34,2021,GRIEG SEAFOOD ROGALAND AS,33437,Ådnaholmen,0.0,0.0,0.0,Ja,Nei,0.5,59.27807,5.777617,Nei,,3120.0
33,2021,GRIEG SEAFOOD ROGALAND AS,33437,Ådnaholmen,0.0,0.0,0.0,Ja,Nei,0.5,59.27807,5.777617,Nei,,3120.0
32,2021,GRIEG SEAFOOD ROGALAND AS,33437,Ådnaholmen,0.0,0.0,0.0,Ja,Nei,0.5,59.27807,5.777617,Nei,,3120.0
31,2021,GRIEG SEAFOOD ROGALAND AS,33437,Ådnaholmen,0.0,0.0,0.0,Ja,Nei,0.5,59.27807,5.777617,Nei,,3120.0
30,2021,GRIEG SEAFOOD ROGALAND AS,33437,Ådnaholmen,0.0,0.0,0.0,Ja,Nei,0.5,59.27807,5.777617,Nei,,3120.0
29,2021,GRIEG SEAFOOD ROGALAND AS,33437,Ådnaholmen,0.0,0.0,0.0,Ja,Nei,0.5,59.27807,5.777617,Nei,,3120.0
28,2021,GRIEG SEAFOOD ROGALAND AS,33437,Ådnaholmen,0.0,0.0,0.0,Ja,Nei,0.5,59.27807,5.777617,Nei,,3120.0
27,2021,GRIEG SEAFOOD ROGALAND AS,33437,Ådnaholmen,0.0,0.0,0.0,Ja,Nei,0.5,59.27807,5.777617,Nei,,3120.0
26,2021,GRIEG SEAFOOD ROGALAND AS,33437,Ådnaholmen,0.0,0.0,0.0,Ja,Nei,0.5,59.27807,5.777617,Nei,,3120.0
25,2021,GRIEG SEAFOOD ROGALAND AS,33437,Ådnaholmen,0.0,0.0,0.0,Ja,Nei,0.5,59.27807,5.777617,Nei,,3120.0
24,2021,GRIEG SEAFOOD ROGALAND AS,33437,Ådnaholmen,0.0,0.0,0.0,Ja,Nei,0.5,59.27807,5.777617,Nei,,3120.0
23,2021,GRIEG SEAFOOD ROGALAND AS,33437,Ådnaholmen,0.0,0.0,0.0,Ja,Nei,0.5,59.27807,5.777617,Nei,,3120.0
22,2021,GRIEG SEAFOOD ROGALAND AS,33437,Ådnaholmen,0.0,0.0,0.0,Ja,Nei,0.5,59.27807,5.777617,Nei,,3120.0
21,2021,GRIEG SEAFOOD ROGALAND AS,33437,Ådnaholmen,0.0,0.0,0.0,Ja,Nei,0.2,59.27807,5.777617,Nei,,3120.0
20,2021,GRIEG SEAFOOD ROGALAND AS,33437,Ådnaholmen,0.0,0.0,0.0,Ja,Nei,0.2,59.27807,5.777617,Nei,,3120.0
19,2021,GRIEG SEAFOOD ROGALAND AS,33437,Ådnaholmen,0.0,0.0,0.0,Ja,Nei,0.2,59.27807,5.777617,Nei,,3120.0
18,2021,GRIEG SEAFOOD ROGALAND AS,33437,Ådnaholmen,0.0,0.0,0.0,Ja,Nei,0.2,59.27807,5.777617,Nei,,3120.0
17,2021,GRIEG SEAFOOD ROGALAND AS,33437,Ådnaholmen,0.0,0.0,0.0,Ja,Nei,0.2,59.27807,5.777617,Nei,,3120.0
16,2021,GRIEG SEAFOOD ROGALAND AS,33437,Ådnaholmen,0.0,0.0,0.0,Ja,Nei,0.2,59.27807,5.777617,Nei,,3120.0
